GRUPO,FAMILIA,ESP,ESPECIE,AUTOR,NOMBREE,NOMBREI,A,B,LINF,K,T0,MED,INCREM,NODC,GT,APHIA
1,Labridae,1,Acantholabrus palloni,"(Risso, 1810)",Tabernero de profund,Scale-rayed wrasse,0.016600,2.901700,0.00,0.00,0.00,1,1,8839013701,11,126957
1,Alepocephalidae,2,Alepocephalus rostratus,"Risso, 1820",Alepocefalo,Risso's smooth head,0.005900,2.950000,0.00,0.00,0.00,1,1,8760010302,11,126684
1,Clupeidae,3,Alosa alosa,"(Linnaeus, 1758)",Sabalo,Allis shad,0.010000,2.981000,0.00,0.00,0.00,1,1,8747010107,6,126413
1,Clupeidae,4,Alosa fallax,"(LacepÞde, 1803)",Saboga,Twaite shad,0.001300,3.544800,0.00,0.00,0.00,1,1,8747010109,6,126415
1,Argentinidae,5,Argentina sphyraena,"Linnaeus, 1758",Argentina,Lesser silver smelt,0.004500,3.091100,0.00,0.00,0.00,1,1,8756010209,11,126716
1,Sternoptychidae,6,Argyropelecus olfersii,"(Cuvier, 1829)",Pez hacha,Hatchet fish,0.018800,3.000000,0.00,0.00,0.00,1,1,8759020107,11,274967
1,Sternoptychidae,7,Argyropelecus hemigymnus,"Cocco, 1829",Pez hacha,Hatchet fish,0.016000,3.000000,0.00,0.00,0.00,1,1,8759020106,11,127309
1,Bothidae,8,Arnoglossus imperialis,"(Rafinesque, 1810)",Peluda imperial,Imperial scaldfish,0.004300,3.173500,0.00,0.00,0.00,1,1,8857031703,9,127124
1,Bothidae,9,Arnoglossus laterna,"(Walbaum, 1792)",Peluda,Scald fish,0.006400,3.031400,0.00,0.00,0.00,1,1,8857031702,9,127126
1,Triglidae,10,Chelidonichthys cuculus,"(Linnaeus, 1758)",Arete,Red gurnard,0.005400,3.174700,0.00,0.00,0.00,1,1,8826020801,9,127259
1,Triglidae,11,Chelidonichthys obscurus,"(Walbaum, 1792)",Arete oscuro,Long-finned gurnard,0.005900,3.105200,0.00,0.00,0.00,1,1,8826020802,9,127263
1,Soleidae,12,Bathysolea profundicola,"(Vaillant, 1888)",Lenguado de profund.,Deepwater sole,0.009600,3.018800,0.00,0.00,0.00,1,1,8858011001,9,127152
1,Berycidae,13,Beryx decadactylus,"Cuvier, 1829",Palometa roja,"Red bream, Berix",0.013900,3.000000,0.00,0.00,0.00,1,1,8810050101,6,126394
1,Blenniidae,14,Blennius ocellaris,"Linnaeus, 1758",Torillo,Butterfly blenny,0.042400,2.468900,0.00,0.00,0.00,1,1,8842010104,9,126761
