,GRUPO,FAMILIA,ESP,ESPECIE,AUTOR,NOMBREE,NOMBREI,A,B,LINF,K,T0,MED,INCREM,NODC,GT,APHIA
1562,1,NOTACANTHIDAE,179,Notacanthus sp.,"Bloch, 1788",,,NA,NA,NA,NA,NA,1,1,NA,NA,125840
1595,1,LOTIDAE,465,Gaidropsarus argentatus,"(reinhardt, 1837)",,,NA,NA,NA,NA,NA,1,1,NA,NA,126451
1596,1,PLEURONECTIDAE,466,Poecilopsetta beanii,"(Goode, 1881)",,,NA,NA,NA,NA,NA,1,1,NA,NA,275847
1560,1,Paralepididae,522,Magnisudis atlantica,"(Kr°ger, 1868)",,,NA,NA,NA,NA,NA,1,1,NA,NA,126359
1561,1,Stomiidae,523,Astronesthes niger,"Richardson, 1845",,,NA,NA,NA,NA,NA,1,1,NA,NA,127328
1564,1,Bramidae,524,Taractes asper,"Lowe, 1843",,,NA,NA,NA,NA,NA,1,1,NA,NA,126786
1472,1,RAJIDAE,511,Dipturus intermedius,,,,0,0,0,0,0,1,1,NA,0,711846
111,1,Macrouridae,111,Coelorinchus caelorhincus,"(Risso, 1810)",Pez rata,Hollow-nosed rattail,0.0038,3.1,0,0,0,2,5,8794010405,6,398381
261,1,Gonostomatidae,264,Sigmops bathyphilus,"(Vaillant, 1884)",,,0,0,0,0,0,1,1,8759010402,0,398363
145,1,Rajidae,145,Raja brachyura,"Lafont, 1871",Raya braquiura,Blonde ray,0.00288,3.22,0,0,0,1,1,8713040138,8,367297
204,1,SEBASTIDAE,205,Trachyscorpia cristulata echinata,"(Koehler, 1896)",Cabracho de profund.,Scorpion fish,0.001,3.04,0,0,0,1,1,8826011101,9,293754
348,1,MYCTOPHIDAE,328,Lampadena urophaos urophaos,,,,0,0,0,0,0,1,1,8762100000,0,293621
350,1,CHLOROPHTALMIDAE,330,Parasudis fraserbrunneri,,,,0,0,0,0,0,1,1,NA,0,275832
6,1,Sternoptychidae,6,Argyropelecus olfersii,"(Cuvier, 1829)",Pez hacha,Hatchet fish,0.0188,3,0,0,0,1,1,8759020107,11,274967
49,1,Soleidae,49,Microchirus variegatus,"(Donovan, 1808)",Golleta,Thickback sole,0.0096,3.0188,0,0,0,1,1,8858010903,9,274304
128,1,Myctophidae,128,Notoscopelus kroyeri,"(Malm, 1861)",Pez linterna,Lanternfish,0,0,0,0,0,1,1,8762140405,11,272728
46,1,Macrouridae,46,Malacocephalus laevis,"(Lowe, 1843)","Granadero, pez rata",Soft-headed rattail,0.00794,3.13,0,0,0,2,5,8794010601,6,272392
196,1,SCOMBERESOCIDAE,197,Scomberesox saurus saurus,"(Walbaum, 1792)",Paparda,Saurey pike,0.0015,3.1934,0,0,0,1,1,8803030201,14,236461
1468,1,LIPARIDAE,454,Liparidae,,,,0,0,0,0,0,1,1,NA,0,234519
341,1,Moridae,322,Guttigadus latifrons,"(Holt & Byrne, 1908)",,,0,0,0,0,0,1,1,NA,0,158978
226,1,Macrouridae,228,Hymenocephalus italicus,"Giglioli, 1884",Granadero,Italian grenader,0,0,0,0,0,2,5,8794011101,11,158961
245,1,Macrouridae,247,Coryphaenoides rupestris,"Gunnerus, 1765",Granadero chato,Roundnose grenadier,0,0,0,0,0,2,5,8794010117,0,158960
343,1,Myctophidae,277,Lobianchia gemellarii,"(Cocco, 1838)",,,0,0,0,0,0,1,1,NA,0,158901
39,1,Labridae,39,Labrus mixtus,"Linnaeus, 1758",Gallano,Cuckoo wrasse,0.0048,3.3175,0,0,0,1,1,8839013604,6,151501
30,1,Triglidae,30,Eutrigla gurnardus,"(Linnaeus, 1758)",Borracho,Grey gurnard,0.007,3.025,0,0,0,1,1,8826020601,9,150637
98,1,Zeidae,98,Zeus faber,"Linnaeus, 1758",Pez de San Pedro,John dory,0.0168,2.9788,0,0,0,1,1,8811030301,6,127427
218,1,Parazenidae,220,Cyttopsis rosea,"(Lowe, 1843)",Cyttopsis,Red dory,0,0,0,0,0,1,1,8811030101,6,127425
18,1,Caproidae,18,Capros aper,"(Linnaeus, 1758)",Ochavo,Boar fish,0.032,2.8,0,0,0,2,1,8811060301,11,127419
144,1,Molidae,144,Mola mola,"(Linnaeus, 1758)",Pez luna,Ocean sunfish,0.0454,3.0496,0,0,0,1,1,8861040101,6,127405
244,1,Syngnathidae,246,Entelurus aequoreus,"(Linnaeus, 1758)",Entelurus,Snake pipefish,0,0,0,0,0,1,1,8820022101,0,127379
48,1,Centriscidae,48,Macroramphosus scolopax,"(Linnaeus, 1758)",Trompetero,Snipe-fish,0.002,3.4117,0,0,0,1,1,8819030101,11,127378
86,1,STOMIIDAE,86,Stomias boa boa,"(Risso, 1810)",Boa,,0.00229,3.16,0,0,0,1,1,8759070205,11,127374
329,1,Stomiidae,311,Melanostomias bartonbeani,"Parr, 1927",,,0,0,0,0,0,1,1,NA,0,127359
332,1,Stomiidae,314,Echiostoma barbatum,"Lowe, 1843",,,0,0,0,0,0,1,1,8759070101,0,127340
331,1,Stomiidae,313,Chirostomias pliopterus,"Regan & Trewavas, 1930",,,0,0,0,0,0,1,1,NA,0,127339
257,1,Stomiidae,260,Chauliodus sloani,"Bloch & Schneider, 1801",,,0,0,0,0,0,1,1,8759060103,0,127338
265,1,Stomiidae,268,Borostomias antarcticus,"(L÷nnberg, 1905)",,,0,0,0,0,0,1,1,NA,0,127334
123,1,Sternoptychidae,123,Maurolicus muelleri,"(Gmelin, 1789)",Anchoa de fondo,Pearlside,0,0,0,0,0,1,1,8759010501,14,127312
