"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"1",125840,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=125840","Notacanthus","Bloch, 1788","accepted",NA,180,"Genus",125840,"Notacanthus","Bloch, 1788",125501,"Animalia","Chordata","Actinopterygii","Notacanthiformes","Notacanthidae","Notacanthus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Notacanthus Bloch, 1788. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=125840 on 2020-08-27","urn:lsid:marinespecies.org:taxname:125840",1,0,0,0,NA,"exact","2014-11-21T13:09:37.943Z"
"2",126451,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=126451","Gaidropsarus argentatus","(Reinhardt, 1837)","accepted",NA,220,"Species",126451,"Gaidropsarus argentatus","(Reinhardt, 1837)",125743,"Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Gaidropsarus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Gaidropsarus argentatus (Reinhardt, 1837). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=126451 on 2020-08-27","urn:lsid:marinespecies.org:taxname:126451",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3",275847,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=275847","Poecilopsetta beanii","(Goode, 1881)","accepted",NA,220,"Species",275847,"Poecilopsetta beanii","(Goode, 1881)",158905,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Poecilopsetta","Froese, R. and D. Pauly. Editors. (2020). FishBase. Poecilopsetta beanii (Goode, 1881). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=275847 on 2020-08-27","urn:lsid:marinespecies.org:taxname:275847",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"4",126359,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=126359","Magnisudis atlantica","(Krøyer, 1868)","accepted",NA,220,"Species",126359,"Magnisudis atlantica","(Krøyer, 1868)",125677,"Animalia","Chordata","Actinopterygii","Aulopiformes","Paralepididae","Magnisudis","Froese, R. and D. Pauly. Editors. (2020). FishBase. Magnisudis atlantica (Krøyer, 1868). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=126359 on 2020-08-27","urn:lsid:marinespecies.org:taxname:126359",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"5",127328,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=127328","Astronesthes niger","Richardson, 1845","accepted",NA,220,"Species",127328,"Astronesthes niger","Richardson, 1845",126202,"Animalia","Chordata","Actinopterygii","Stomiiformes","Stomiidae","Astronesthes","Froese, R. and D. Pauly. Editors. (2020). FishBase. Astronesthes niger Richardson, 1845. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=127328 on 2020-08-27","urn:lsid:marinespecies.org:taxname:127328",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"6",126786,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=126786","Taractes asper","Lowe, 1843","accepted",NA,220,"Species",126786,"Taractes asper","Lowe, 1843",125927,"Animalia","Chordata","Actinopterygii","Perciformes","Bramidae","Taractes","Froese, R. and D. Pauly. Editors. (2020). FishBase. Taractes asper Lowe, 1843. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=126786 on 2020-08-27","urn:lsid:marinespecies.org:taxname:126786",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"7",711846,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=711846","Dipturus intermedius","(Parnell, 1837)","accepted",NA,220,"Species",711846,"Dipturus intermedius","(Parnell, 1837)",105762,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Dipturus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Dipturus intermedius (Parnell, 1837). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=711846 on 2020-08-27","urn:lsid:marinespecies.org:taxname:711846",1,NA,NA,NA,NA,"exact","2018-10-16T15:41:56.217Z"
"8",398381,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=398381","Coelorinchus caelorhincus","(Risso, 1810)","accepted",NA,220,"Species",398381,"Coelorinchus caelorhincus","(Risso, 1810)",268809,"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Coelorinchus","Froese, R. and D. Pauly. Editors. (2020). FishBase. Coelorinchus caelorhincus (Risso, 1810). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=398381 on 2020-08-27","urn:lsid:marinespecies.org:taxname:398381",1,0,0,0,NA,"exact","2009-06-10T14:51:32.417Z"
"9",398363,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=398363","Sigmops bathyphilus","(Vaillant, 1884)","accepted",NA,220,"Species",398363,"Sigmops bathyphilus","(Vaillant, 1884)",221510,"Animalia","Chordata","Actinopterygii","Stomiiformes","Gonostomatidae","Sigmops","Froese, R. and D. Pauly. Editors. (2020). FishBase. Sigmops bathyphilus (Vaillant, 1884). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=398363 on 2020-08-27","urn:lsid:marinespecies.org:taxname:398363",1,0,0,0,NA,"exact","2009-06-10T14:51:32.417Z"
"10",367297,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=367297","Raja brachyura","Lafont, 1871","accepted",NA,220,"Species",367297,"Raja brachyura","Lafont, 1871",105766,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","Froese, R. and D. Pauly. Editors. (2020). FishBase. Raja brachyura Lafont, 1871. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=367297 on 2020-08-27","urn:lsid:marinespecies.org:taxname:367297",1,0,0,0,NA,"exact","2013-01-08T10:48:02.203Z"
