Date,Quarter,Appr. status,Seq No.,Sampling type,Vessel,Trip,Station,Gear,Mesh size,Validity (haul),Subsample,Fate,Processing,Catagory,Max maturity,Subdiv.,Rect.,ICES,Depth,Fishno,Lengthclass,Age,Age quality,Weight (g),Sex,Maturity,Otolithno,Fat content,Nematodes,Decease,Vr,Spawning type,Spawning grind,Liver weight (mg),Gonad weight (mg),Gutted weight (g),Gall content,Stomach state,Dna number,Maturity nephrop,Maturity pandalus,Aging method,Liver weight roundfish (g),Gonad weight roundfish (g),Parasite prawns,Ichthyophonus,Nematodes in liver,Spmen note
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",67,180,2,,56,M,5,67,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",66,180,4,,76,M,5,66,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",63,200,4,,108,F,4,63,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",62,200,5,,98,M,5,62,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",108,200,4,,94,M,6,108,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",60,210,5,,120,M,5,60,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",96,210,3,,114,M,6,96,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",59,210,4,,110,M,6,59,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",65,210,6,,110,M,6,65,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",57,220,4,,134,F,4,57,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",73,220,4,,136,F,4,73,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",106,220,4,,146,F,4,106,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",12,220,4,,158,F,4,12,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",103,220,5,,144,F,4,103,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",91,220,4,,128,M,5,91,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",61,220,3,,110,M,6,61,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",95,220,3,,128,M,6,95,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",8,220,4,,124,M,6,8,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",64,220,5,,120,M,6,64,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",71,220,8,,144,M,6,71,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",84,230,5,,164,F,4,84,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",47,230,5,,170,F,4,47,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",54,230,8,,174,F,4,54,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",107,230,5,,124,M,6,107,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",82,230,6,,122,M,6,82,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",85,230,8,,128,M,6,85,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",92,230,8,,140,M,6,92,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",94,240,4,,168,F,4,94,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",86,240,5,,192,F,4,86,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",19,240,11,,156,M,5,19,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",87,240,4,,180,M,6,87,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",102,240,5,,140,M,6,102,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",83,240,5,,144,M,6,83,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",15,240,5,,150,M,6,15,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",100,240,5,,162,M,6,100,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",7,240,6,,152,M,6,7,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",51,240,13,,208,M,6,51,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",45,240,,,124,M,6,45,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",37,250,4,,200,F,4,37,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",58,250,4,,202,F,4,58,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",76,250,4,,208,F,4,76,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",42,250,5,,186,F,4,42,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",48,250,5,,204,F,4,48,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",81,250,5,,230,F,4,81,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",78,250,6,,190,F,4,78,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",26,250,6,,194,F,4,26,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",68,250,6,,204,F,4,68,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",35,250,6,,206,F,4,35,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",31,250,7,,190,F,4,31,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",5,250,8,,172,M,5,5,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",20,250,9,,188,M,5,20,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",29,250,5,,180,M,6,29,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",69,250,5,,192,M,6,69,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",17,250,6,,158,M,6,17,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",53,250,6,,174,M,6,53,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",104,250,6,,176,M,6,104,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",6,250,7,,180,M,6,6,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",21,250,7,,180,M,6,21,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",105,250,14,,182,M,6,105,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",93,250,,,198,M,6,93,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",72,260,4,,230,F,4,72,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",97,260,4,,238,F,4,97,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",79,260,4,,246,F,4,79,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",88,260,6,,234,F,4,88,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",90,260,7,,274,F,4,90,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",1,260,8,,240,F,4,1,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",43,260,8,,255,F,4,43,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",18,260,5,,144,M,6,18,,,,,,,,,,,,,,,,,,,,,
2013-02-22,1,No,10047,6,OXBH,3,1,319,,V,0,8,0,9,9,25,4059,40G4,"50,1",2,260,5,,150,M,6,2,,,,,,,,,,,,,,,,,,,,,
