Sierra,Area (ha),Habitat proximity (ha),Number of plant species,,Number of animal species,,Number of links,,Number of flower visitors,
La Paja,12,112.696,28,22,48,42,132,108,1581,1095
Difuntito,13,330.981,38,31,79,74,240,204,798,663
Piedra Alta,13,104.301,23,15,66,63,168,96,1450,320
El Morro,49,0.191,17,14,67,61,138,107,825,650
Amarante,190,73.361,39,33,67,63,188,156,889,780
La Chata,229,73.637,32,28,61,56,192,163,1101,797
La Barrosa,243,44.557,36,27,58,53,175,120,842,584
La Brava,396,1772.834,24,18,58,54,171,129,760,655
Cinco Cerros,541,28.288,33,30,63,59,171,145,944,613
Difuntos,1692,26.454,25,15,69,65,192,133,1506,567
Volcan,2079,1731.828,34,29,68,64,228,178,1311,839
Vigilancia,2147,1783.071,34,25,74,71,245,177,1167,710
