"","haul","Cumulative number of fish species"
"1",1,21
"2",2,24
"3",3,28
"4",4,35
"5",5,37
"6",6,39
"7",7,39
"8",8,41
"9",9,44
"10",10,46
"11",11,51
"12",12,59
"13",13,60
"14",14,62
"15",15,64
"16",16,65
"17",17,66
"18",18,66
"19",19,66
"20",20,66
"21",21,66
"22",22,66
"23",23,67
"24",24,67
"25",25,68
"26",26,68
"27",27,68
"28",28,68
"29",29,69
"30",30,69
"31",31,69
"32",32,69
"33",33,70
"34",34,71
"35",35,77
"36",36,77
"37",37,77
"38",38,78
"39",39,79
"40",40,79
"41",41,80
"42",42,80
"43",43,80
"44",44,80
"45",45,80
"46",46,80
"47",47,80
"48",48,80
"49",49,80
"50",50,80
"51",51,80
"52",52,80
"53",53,80
"54",54,80
"55",55,80
"56",56,80
"57",57,83
"58",58,83
"59",59,84
"60",60,85
"61",61,85
"62",62,85
"63",63,85
"64",64,85
"65",65,85
"66",66,85
"67",67,85
"68",68,86
"69",69,86
"70",70,86
"71",71,86
"72",72,86
"73",73,86
"74",74,87
"75",75,87
"76",76,90
"77",77,90
"78",78,91
"79",79,91
"80",80,91
"81",81,91
"82",82,92
"83",83,92
"84",84,92
"85",85,92
"86",86,95
"87",87,95
"88",88,95
"89",89,95
"90",90,95
"91",91,95
"92",92,95
"93",93,95
"94",94,95
"95",95,95
"96",96,95
"97",97,95
"98",98,95
"99",99,95
"100",100,95
"101",101,95
"102",102,95
"103",103,95
"104",104,95
"105",105,95
"106",106,95
"107",107,95
"108",108,95
"109",109,95
"110",110,95
"111",111,95
"112",112,95
"113",113,95
"114",114,95
"115",115,95
"116",116,95
"117",117,95
"118",118,95
"119",119,95
"120",120,95
"121",121,96
"122",122,97
"123",123,97
"124",124,97
"125",125,97
"126",126,97
"127",127,97
"128",128,97
"129",129,97
"130",130,97
"131",131,98
"132",132,98
"133",133,98
"134",134,98
"135",135,98
"136",136,98
"137",137,98
"138",138,100
"139",139,100
"140",140,100
"141",141,100
"142",142,100
"143",143,100
"144",144,100
"145",145,100
"146",146,100
"147",147,102
"148",148,102
"149",149,102
"150",150,103
"151",151,103
"152",152,103
"153",153,103
"154",154,103
"155",155,103
"156",156,103
"157",157,103
"158",158,104
"159",159,104
"160",160,104
"161",161,105
"162",162,105
"163",163,105
"164",164,105
"165",165,105
"166",166,105
"167",167,105
"168",168,105
"169",169,106
"170",170,106
"171",171,106
"172",172,106
"173",173,107
"174",174,107
"175",175,107
"176",176,107
"177",177,107
"178",178,108
"179",179,108
"180",180,108
"181",181,108
"182",182,108
"183",183,108
"184",184,108
"185",185,108
"186",186,108
"187",187,108
"188",188,108
"189",189,109
"190",190,109
"191",191,109
"192",192,109
"193",193,109
"194",194,109
"195",195,109
"196",196,109
"197",197,109
"198",198,109
"199",199,110
"200",200,110
"201",201,110
"202",202,110
"203",203,110
